epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1348.95,0.74393,0.60019,1.13364,0.84448,0.70447,0.93321,0.85786,0.45159,0.94003,0.96104,0.000540037,0.000540037,0.000540037
43,1380.68,0.71098,0.5817,1.11326,0.74814,0.74544,0.81073,0.73242,0.45644,1.01024,0.95515,0.000531038,0.000531038,0.000531038
44,1412.7,0.70203,0.55988,1.1098,0.82194,0.74026,0.88002,0.79188,0.53755,0.8491,1.06596,0.000522039,0.000522039,0.000522039
45,1444.98,0.71233,0.585,1.12175,0.79409,0.6756,0.84711,0.78147,0.43834,1.2604,0.9463,0.00051304,0.00051304,0.00051304
46,1477.04,0.71871,0.59623,1.12444,0.79077,0.8088,0.91064,0.84231,0.50313,0.95785,1.02233,0.00050404,0.00050404,0.00050404
47,1508.79,0.7274,0.59149,1.12995,0.82109,0.77936,0.87569,0.80952,0.44569,0.95158,0.96149,0.000495041,0.000495041,0.000495041
48,1540.63,0.70428,0.58527,1.11417,0.78596,0.83208,0.91963,0.85332,0.46515,0.84982,0.97099,0.000486042,0.000486042,0.000486042
49,1572.28,0.6938,0.56894,1.10492,0.85957,0.63366,0.86139,0.79469,0.44737,1.18727,0.96134,0.000477043,0.000477043,0.000477043
50,1604.08,0.71329,0.5714,1.12282,0.74886,0.79348,0.80111,0.73941,0.44085,1.01395,0.94891,0.000468044,0.000468044,0.000468044
51,1636.26,0.69346,0.55902,1.10727,0.78335,0.84968,0.91827,0.85313,0.43532,0.91473,0.95163,0.000459045,0.000459045,0.000459045
52,1668.3,0.69015,0.54506,1.10272,0.79984,0.68979,0.86288,0.79836,0.44264,1.1677,0.97364,0.000450046,0.000450046,0.000450046
53,1701.01,0.68501,0.55045,1.10198,0.82828,0.75744,0.9209,0.8532,0.43792,0.80072,0.97753,0.000441047,0.000441047,0.000441047
54,1733.68,0.68002,0.56186,1.10105,0.8043,0.72838,0.88392,0.81323,0.44755,1.06339,0.98503,0.000432048,0.000432048,0.000432048
55,1765.53,0.69778,0.54108,1.11606,0.75815,0.75227,0.81042,0.73142,0.46083,0.87896,0.98742,0.000423049,0.000423049,0.000423049
56,1797.46,0.66821,0.5372,1.09646,0.82274,0.84112,0.93627,0.87162,0.44838,0.57925,0.96682,0.000414049,0.000414049,0.000414049
57,1829.03,0.66726,0.52103,1.0965,0.83223,0.77413,0.93501,0.87612,0.4268,0.7763,0.95061,0.00040505,0.00040505,0.00040505
58,1861.42,0.64995,0.51872,1.08479,0.86381,0.77689,0.94263,0.88549,0.41149,0.66304,0.92976,0.000396051,0.000396051,0.000396051
59,1893.41,0.66839,0.52457,1.09736,0.82241,0.85467,0.94476,0.8764,0.43911,0.56372,0.9633,0.000387052,0.000387052,0.000387052
60,1925.59,0.65113,0.5275,1.08681,0.82239,0.77955,0.93782,0.87516,0.38048,0.6986,0.91219,0.000378053,0.000378053,0.000378053
61,1957.52,0.65927,0.53246,1.09095,0.78489,0.78759,0.91282,0.8561,0.44918,0.77263,0.99472,0.000369054,0.000369054,0.000369054
62,1989.69,0.65061,0.51325,1.08282,0.78275,0.79644,0.87674,0.81861,0.47038,0.72029,0.99786,0.000360055,0.000360055,0.000360055
63,2021.43,0.63489,0.51473,1.07909,0.77947,0.80152,0.92814,0.86632,0.43978,0.73841,0.97743,0.000351056,0.000351056,0.000351056
64,2052.96,0.63961,0.51388,1.08375,0.92817,0.68697,0.94435,0.88523,0.43428,0.79449,0.98257,0.000342057,0.000342057,0.000342057
65,2084.8,0.65584,0.51332,1.0904,0.85108,0.69164,0.92184,0.85609,0.44341,1.01549,0.9788,0.000333058,0.000333058,0.000333058
66,2117.04,0.63347,0.50385,1.07871,0.80087,0.72639,0.90822,0.84452,0.46218,1.03139,1.00908,0.000324058,0.000324058,0.000324058
67,2148.87,0.61452,0.4938,1.0628,0.81972,0.80242,0.92404,0.85492,0.41493,0.76723,0.95078,0.000315059,0.000315059,0.000315059
68,2180.44,0.62698,0.4964,1.06212,0.83029,0.79261,0.9357,0.86998,0.43773,0.78776,0.98358,0.00030606,0.00030606,0.00030606
69,2212.33,0.6151,0.48228,1.05863,0.85151,0.79864,0.94407,0.87605,0.45132,0.73429,1.01145,0.000297061,0.000297061,0.000297061
70,2244.19,0.61585,0.47457,1.0622,0.8421,0.77605,0.93331,0.88238,0.37627,0.76045,0.90472,0.000288062,0.000288062,0.000288062
71,2276.47,0.617,0.47727,1.06439,0.75184,0.83148,0.89341,0.83045,0.37607,0.86011,0.9084,0.000279063,0.000279063,0.000279063
