epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2135.13,0.70244,0.64918,1.13835,0.8636,0.8877,0.94498,0.85188,0.72227,0.7102,1.19955,0.000569094,0.000569094,0.000569094
43,2185.56,0.69966,0.64903,1.12653,0.88206,0.90124,0.94403,0.85272,0.6487,0.67011,1.12414,0.000565559,0.000565559,0.000565559
44,2236.65,0.71009,0.65432,1.13264,0.8843,0.86197,0.9368,0.83722,0.66449,0.64997,1.14342,0.000562025,0.000562025,0.000562025
45,2287.09,0.69403,0.63183,1.12061,0.92618,0.90545,0.9531,0.87396,0.68186,0.65163,1.15471,0.000558491,0.000558491,0.000558491
46,2337.34,0.69899,0.63401,1.12201,0.89128,0.90229,0.94232,0.85748,0.59388,0.68266,1.10229,0.000554956,0.000554956,0.000554956
47,2387.51,0.69933,0.60919,1.12497,0.93262,0.90692,0.95857,0.88203,0.62814,0.57835,1.15152,0.000551422,0.000551422,0.000551422
48,2438.13,0.67584,0.60742,1.11003,0.91476,0.90357,0.95071,0.87344,0.62194,0.59751,1.11886,0.000547888,0.000547888,0.000547888
49,2488.59,0.6679,0.59748,1.10744,0.89905,0.88744,0.94214,0.85653,0.69915,0.6405,1.23342,0.000544354,0.000544354,0.000544354
50,2538.88,0.67833,0.60926,1.11825,0.90612,0.82768,0.94,0.8552,0.69453,0.75772,1.24971,0.000540819,0.000540819,0.000540819
51,2589.27,0.65776,0.59904,1.09955,0.91577,0.90725,0.95217,0.86539,0.68213,0.62028,1.19068,0.000537285,0.000537285,0.000537285
52,2641.51,0.66845,0.59341,1.10506,0.92585,0.88706,0.9522,0.8677,0.65825,0.68801,1.15937,0.000533751,0.000533751,0.000533751
53,2693.21,0.65298,0.58625,1.09958,0.9291,0.88327,0.95038,0.87025,0.60079,0.60317,1.14501,0.000530216,0.000530216,0.000530216
54,2743.89,0.6622,0.58387,1.1036,0.89983,0.887,0.94922,0.86328,0.65002,0.7079,1.1535,0.000526682,0.000526682,0.000526682
55,2794.07,0.6596,0.57914,1.10332,0.81855,0.89757,0.93349,0.86016,0.63971,0.74417,1.19097,0.000523148,0.000523148,0.000523148
56,2844.54,0.65728,0.58619,1.0985,0.90167,0.86293,0.94224,0.85446,0.68034,0.77318,1.2117,0.000519613,0.000519613,0.000519613
57,2894.84,0.65125,0.56022,1.09462,0.92193,0.83313,0.94076,0.85813,0.60697,0.74894,1.11286,0.000516079,0.000516079,0.000516079
58,2944.99,0.6629,0.57552,1.1011,0.89263,0.87298,0.93899,0.85028,0.71784,0.78083,1.20711,0.000512545,0.000512545,0.000512545
59,2995.18,0.64682,0.57215,1.09237,0.9211,0.89197,0.94651,0.87124,0.65676,0.63704,1.19007,0.000509011,0.000509011,0.000509011
60,3045.76,0.66777,0.56947,1.10309,0.90778,0.8679,0.95024,0.87202,0.63515,0.58029,1.14741,0.000505476,0.000505476,0.000505476
61,3096.04,0.64085,0.54757,1.09081,0.84518,0.87039,0.94303,0.8665,0.67885,0.66149,1.20862,0.000501942,0.000501942,0.000501942
62,3146.57,0.64773,0.553,1.09999,0.91195,0.87237,0.94865,0.88051,0.57646,0.69817,1.08276,0.000498408,0.000498408,0.000498408
